Year;Gross Return (nominal);Costs (nominal);Gross Return (nominal);Costs (nominal);;Gross Return (nominal);Costs (nominal);Gross Return (real) in 2000 dollars;Costs (real) in 2000 dollars;P: Raup (nominal);P: Taff (nominal);Ratio;P  (nominal);P  (real) in 2000 dollars;Implicit Price Deflator of GNP;RM (percent) (Real);(1+rate of return): (Real)
1967;81.17;Not available;59.41;Not available;;70.29;;294.42071;;306.1;;;265.61;1112.54559;23.874;20.32;1.2032
1968;93.8;NA;64.08;NA;;78.94;;317.11726;;329;;;285.48;1146.82813;24.893;6.05;1.0605
1969;96;NA;67.08;NA;;81.54;;312.09094;;334.1;;;289.91;1109.60041;26.127;-13.77;0.8623
1970;121.75;NA;89.65;NA;;105.7;;384.19599;;340;;;295.02;1072.34969;27.512;-1.41;0.9859
1971;90.24;NA;84.23;NA;;87.235;;301.96615;;343;;;297.63;1030.24684;28.889;10.6;1.106
1972;128.88;NA;141.36;NA;;135.12;;448.23354;;365.7;;;317.33;1052.66298;30.145;15.05;1.1505
1973;209.88;NA;179.3;NA;;194.59;;611.34150;;410.1;;;355.85;1117.97684;31.83;-21.56;0.7844
1974;203.4;NA;195.3;NA;;199.35;;574.51223;;630.1;;;546.75;1575.69515;34.699;-34.46;0.6554
1975;166.9;NA;150.77;NA;;158.835;;418.25100;;843.9;;;732.27;1928.24159;37.976;28.21;1.2821
1976;130.73;NA;159.9;NA;;145.315;;361.70504;;1115.7;;;968.12;2409.74576;40.175;18.16;1.1816
1977;182.94;NA;199.71;NA;;191.325;;447.74286;;1340.4;;;1163.09;2721.89295;42.731;-13.07;0.8693
1978;207.19;NA;248.38;NA;;227.785;;498.03223;;1320.7;;;1146.00;2505.62562;45.737;-2.26;0.9774
1979;216.55;NA;191.61;NA;;204.08;;412.05807;;1679.5;;;1457.34;2942.50808;49.527;4.53;1.0453
1980;330.34;NA;303.34;NA;;316.84;;586.57780;;1868.2;;;1621.07;3001.15665;54.015;17.81;1.1781
1981;279.18;NA;229.03;NA;;254.105;;429.99408;;2004.6;;;1739.43;2943.45003;59.095;-12.71;0.8729
1982;243.69;NA;197.59;NA;;220.64;;351.90354;;2022.3;;;1754.79;2798.75347;62.699;16.88;1.1688
1983;265.61;200.43;266.17;136.6;;265.89;168.515;407.90685;258.52;1872;;;1624.37;2491.97979;65.184;18.03;1.1803
1984;283.28;201.82;229.76;134.56;;256.52;168.19;379.29352;248.69;1658.1;;;1438.77;2127.37763;67.631;2.22;1.0222
1985;292.69;198.77;178.3;124.62;;235.495;161.695;337.89368;232.00;1181;;;1024.78;1470.37447;69.695;27.36;1.2736
1986;231.29;192.1;176.71;114.55;;204;153.325;286.40824;215.26;829.6;;;719.86;1010.65695;71.227;17.15;1.1715
1987;226.2;193.98;207.24;122.26;;216.72;158.12;296.14244;216.07;754.6;;;654.78;894.74265;73.181;0.79;1.0079
1988;221.35;189.69;244;116.95;;232.675;153.32;307.44989;202.59;910.9;;;790.41;1044.41956;75.679;11.87;1.1187
1989;295.3;183.13;226.77;116.27;;261.035;149.7;332.32123;190.58;1074.4;;;932.28;1186.87510;78.549;25.65;1.2565
1990;261.97;201.3;262.37;124.25;;262.17;162.775;321.33008;199.51;1098.1;942;858;942.00;1154.56740;81.589;-8.74;0.9126
1991;270.08;199.78;213.92;126.23;;242;163.005;286.59403;193.04;1214.7;1052;866;1052.00;1245.85505;84.44;26.67;1.2667
1992;231.05;203.59;208.52;127.37;;219.785;165.48;254.45441;191.58;1269;1114;878;1114.00;1289.72504;86.375;4.64;1.0464
1993;208.93;203.85;170.42;136.44;;189.675;170.145;214.60818;192.51;;1180;868;1180.00;1335.11348;88.382;7.05;1.0705
1994;263.53;203.86;243.37;135.52;;253.45;169.69;280.79369;188.00;;1106;;1106.00;1225.32184;90.262;-1.33;0.9867
1995;330.33;221.38;251.57;141.87;;290.95;181.625;315.85861;197.17;;1118;;1118.00;1213.71344;92.114;34.03;1.3403
1996;326.71;238.67;302.43;153.51;;314.57;196.09;335.13738;208.91;;1176;;1176.00;1252.88985;93.863;19.12;1.1912
1997;306.93;251.6;276.74;163.82;;291.835;207.71;305.84259;217.68;;1230;;1230.00;1289.03794;95.42;31.13;1.3113
1998;287.22;231.15;256.46;161.79;;271.84;196.47;281.77248;203.65;;1373;;1373.00;1423.16662;96.475;26.54;1.2654
1999;276.44;222.94;234.81;155.11;;255.625;189.025;261.19098;193.14;;1319;;1319.00;1347.71991;97.869;17.88;1.1788
2000;265.54;208.48;241.22;134.85;;253.38;171.665;253.38000;171.67;;1424;;1424.00;1424.00000;100;-12.08;0.8792
2001;241.12;223.34;222.75;141.75;;231.935;182.545;226.50787;178.27;;1511;;1511.00;1475.64358;102.396;-13.23;0.8677
2002;328.92;224.95;268.56;141.74;;298.74;183.345;286.75645;175.99;;1577;;1577.00;1513.74077;104.179;-23.91;0.7609
2003;355.93;230.37;277.34;152.23;;316.635;191.3;297.60047;179.80;;1707;;1707.00;1604.38362;106.396;26.32;1.2632
2004;327.6;252.41;242.69;151.12;;285.145;201.765;260.51345;184.34;;2010;;2010.00;1836.37111;109.455;7.38;1.0738
2005;424.87;262.86;318.15;162.11;;371.51;212.485;328.67974;187.99;;2326;;2326.00;2057.84254;113.031;1.44;1.0144
2006;505.75;278.79;316.2;175.18;;410.975;226.985;352.24818;194.55;;2526;;2526.00;2165.04388;116.672;12.93;1.1293
2007;633.46;303.62;486.28;189.62;;559.87;246.62;467.28652;205.84;;2882;;2882.00;2405.41511;119.813;1.36;1.0136
;;;;;;;;;;;;;;;;;
;;;;;;;;Average:;201;;;;;;;;
