Date,Value
1967-12-29,925.58
1968-12-31,951.57
1969-12-31,794.24
1970-12-31,753.06
1971-12-31,807.91
1972-12-29,903.44
1973-12-31,686.76
1974-12-31,429.66
1975-12-31,528.55
1976-12-31,600.54
1977-12-30,498.09
1978-12-29,461.74
1979-12-31,457.73
1980-12-31,511.66
1981-12-31,424.04
1982-12-31,468.68
1983-12-30,529.55
1984-12-31,516.57
1985-12-31,628.72
1986-12-31,712.82
1987-12-31,696.39
1988-12-30,749.62
1989-12-29,911.53
1990-12-31,802.73
1991-12-31,983.75
1992-12-31,998.7
1993-12-31,1040.56
1994-12-30,997.85
1995-12-29,1305.1
1996-12-31,1519.09
1997-12-31,1956.82
1998-12-31,2439.35
1999-12-31,2839.43
2000-12-29,2467.95
2001-12-31,2113.27
2002-12-31,1581.89
2003-12-31,1962.31
2004-12-31,2071.36
2005-12-30,2063.05
2006-12-29,2285.95
2007-12-31,2273.83
